시군구명,행정동코드,행정동명,지번코드,건물관리번호,경도,위도
영등포구,1156054000,여의동,1156011000200440022,1156011000100440022031461,126.92927506344101,37.5204367716676
서대문구,1141056500,충현동,1141010200204640000,1141010200104640000030855,126.964069882556,37.5598884579046
강동구,1174064000,성내1동,1174010800204680000,1174010800104680000007256,127.12593214503599,37.5254709132425
강남구,1168059000,삼성2동,1168010500200510000,1168010500100510000015804,127.052704674305,37.5134718899824
종로구,1111061500,종로1.2.3.4가동,1111013800200840010,1111013800100840010015321,126.984521790682,37.5699505724323
송파구,1171071000,잠실6동,1171010200200070017,1171010200100070017000139,127.099535260634,37.515324937270705
서초구,1165062100,방배4동,1165010100208510001,1165010100108510001009235,126.99245761598,37.4900145248382
성북구,1129060000,안암동,1129012500200010002,1129012500100010002039525,127.031701809695,37.5884849860916
중구,1114054000,회현동,1114011800201200000,1114011800101200000023310,126.975395770913,37.5585276043331
강남구,1168075000,수서동,1168011500207130000,1168011500107130000000001,127.101842066177,37.488013362892396
중구,1114055000,명동,1114010500201980000,1114010500101980000023398,126.983312623474,37.5656331860355
금천구,1154551000,가산동,1154510100200600027,1154510100100600027000001,126.88766254860799,37.4773156374838
서초구,1165062100,방배4동,1165010100230000001,1165010100130000001027716,126.98268993664401,37.4864978042431
서초구,1165059000,방배본동,1165010100207550014,1165010100107550014000001,126.985676893834,37.4972370082012
강남구,1168053100,논현2동,1168010800202380005,1168010800102380005006588,127.035741342646,37.5149114670439
광진구,1121584000,자양3동,1121510500205070006,1121510500105070006011795,127.06915882226299,37.5356695214728
용산구,1117062500,한강로동,1117012800200400999,1117012800100400999012888,126.963222625326,37.527902979157
강동구,1174062000,천호3동,1174010900204530014,1174010900104530014010516,127.12731542401,37.537834630463706
마포구,1144059000,용강동,1144010400200500001,1144010400100500001003217,126.946358128038,37.5404674503959
종로구,1111060000,가회동,1111014800201010014,1111014800101010014018732,126.98645348123699,37.579437112041
중구,1114055000,명동,1114010500201990033,1114010500101990033019424,126.983715734748,37.56512306293929
강남구,1168064000,역삼1동,1168010100207350003,1168010100107350005028032,127.03379242321199,37.4993703754632
강북구,1130559000,번1동,1130510200204180017,1130510200104180017017291,127.026107842176,37.638023076730704
마포구,1144058500,도화동,1144010400205630000,1144010400105630000010646,126.949139204869,37.5414563490381
서초구,1165053000,서초3동,1165010800214640022,1165010800114640022021146,127.012347140463,37.4806673259512
동대문구,1123065000,장안1동,1123010600204330007,1123010600104330007041559,127.065476564871,37.562347565345995
서대문구,1141058500,신촌동,1141011600200200025,1141011600100200025030701,126.94031422834,37.5565510166296
서초구,1165058100,반포4동,1165010700200920001,1165010700100920001016754,126.998542320991,37.4992570081851
강남구,1168064000,역삼1동,1168010100207360001,1168010100107360001023747,127.034941231236,37.499740188400104
노원구,1135069500,상계6.7동,1135010500207630003,1135010500107630003000950,127.06215871021001,37.6481544698442
서초구,1165056000,반포1동,1165010700207480001,1165010700107480001000001,127.023626959081,37.5053148456229
종로구,1111064000,이화동,1111016800200300000,1111016800100300000009771,127.00388696534999,37.5829644184897
서초구,1165053000,서초3동,1165010800214570001,1165010800114570001021303,127.014197798445,37.4843861241449
영등포구,1156056000,당산2동,1156011600203380001,1156011600103380011027353,126.899952047656,37.5351335863576
중랑구,1126068000,신내1동,1126010600205630003,1126010600105630003031839,127.095653136278,37.605400319519
강남구,1168051000,신사동,1168010700205290010,1168010700105290010010670,127.021629292234,37.5231842055575
구로구,1153054000,구로3동,1153010200201910007,1153010200101910007022763,126.89549862342399,37.4856968115932
서초구,1165058100,반포4동,1165010700201180003,1165010700101180003000001,127.007826111215,37.504480361962706
강남구,1168053100,논현2동,1168010800202160005,1168010800102160005007586,127.032255003449,37.5115850987019
종로구,1111061500,종로1.2.3.4가동,1111015500200030005,1111015500100030005013868,126.98865644043,37.569742784871
강서구,1150053500,등촌3동,1150010200206780014,1150010200106780014025293,126.839290175551,37.5601782971845
강남구,1168069000,개포4동,1168010300212290001,1168010300102290001020566,127.045116281379,37.4778100339866
서초구,1165058000,반포3동,1165010600200700001,1165010600100700001017598,127.006957982903,37.5102488124166
강남구,1168056500,청담동,1168010400200520001,1168010400100520001017846,127.051571721037,37.524338516437794
강남구,1168058000,삼성1동,1168010500201540010,1168010500101540010016710,127.057908690998,37.5098191857712
광진구,1121573000,군자동,1121510900204780005,1121510900104780005019799,127.079012895356,37.5569305034381
용산구,1117065000,이태원1동,1117013000200560013,1117013000100560013009630,126.98924122654199,37.5339943503067
종로구,1111061500,종로1.2.3.4가동,1111013600200750004,1111013600100750004017367,126.98733102125799,37.570650485064796
강남구,1168059000,삼성2동,1168010500200370017,1168010500100370017016458,127.044549435311,37.5107751239617
강남구,1168053100,논현2동,1168010800200870000,1168010800100870000027153,127.03074553868099,37.514600260375204
