dong,starbucks,X,Y,subway,pop0,pop10,pop20,pop30,pop40,pop50,pop60,pop70,poptotal,landprice
구로3동,1,946617.7778,1942981.222,301.0843126,1032.560489,1194.109622,5056.410444,5607.2446,3874.277333,3002.716533,2526.580556,2268.394267,24562.29384,100.321
구로4동,0,946182.6923,1943927.846,308.8738842,1434.714,1416.795,2707.989346,3167.715269,2605.018385,2366.7005,2285.713231,2271.260462,18255.90619,100.321
구로5동,1,946044.3396,1944890.509,445.6269568,1929.961642,1818.310425,4333.180934,4510.060009,3433.459358,3195.027321,2803.54216,2613.147632,24636.68948,100.321
구산동,0,948313.6364,1956753.545,333.9140033,1717.678636,2270.745091,1866.313909,2123.964455,2305.974909,2161.475909,2001.316545,2215.562273,16663.03173,100.358
구의1동,1,963200,1948749,144.6641588,1648.94,2166.523333,4172.096667,3797.564,3445.429,3411.552,3000.92,3380.560667,25023.58567,100.46
구의2동,1,963747.7778,1949897.889,470.4040078,1590.625889,1922.022467,1824.477511,2135.537444,2134.9278,2097.034844,1959.496289,1903.895889,15568.01813,100.46
구의3동,1,964204.4118,1948628.412,215.05518,1596.350882,2507.840853,4824.957676,3921.407235,3903.033,3948.630912,3404.026382,3237.2965,27343.54344,100.46
군자동,1,962242.3913,1950375.087,396.2702551,1022.732891,1414.742761,2936.401261,2073.113152,1726.782913,1794.76363,1631.859804,1578.538565,14178.93498,100.243
금호1가동,0,958118.1818,1950394.455,528.6547049,1341.252818,1407.385909,1405.097455,2221.227636,2122.526273,1776.493636,1772.551727,1918.953364,13965.48882,100.337
금호2.3가동,0,957635,1950094,385.2608375,1516.7818,1198.4463,1597.4488,2217.608,2061.3128,2004.738,2001.3672,2291.0296,14888.7325,100.337
금호4가동,1,957692,1949873,453.2306421,1858.98368,1432.2154,2089.25504,2701.00784,2549.97316,2426.06652,2400.77332,2709.61752,18167.89248,100.337
길동,1,968644.2623,1948697.361,617.4257271,1196.312967,1315.771295,1985.989656,2261.277443,2144.764377,2298.691787,2135.691607,1856.704967,15195.2041,100.502
길음1동,0,957816.6667,1956434.185,398.718466,2404.311704,2748.293074,2525.175593,3175.939741,3509.750926,2991.408815,3078.88563,3056.916,23490.68148,100.482
길음2동,1,958442.8571,1956379.357,367.395391,1130.885786,1477.245321,1775.485786,2135.901679,2226.214643,2159.176536,1992.072143,1953.430857,14850.41275,100.4475
낙성대동,1,952045.4545,1941800.515,546.9599903,801.4727576,1194.898939,3124.763424,2062.656121,1540.603818,1476.607091,1426.600455,1429.273273,13056.87588,100.36
남가좌1동,1,948481.5789,1952512.158,287.717097,1261.557895,993.6704211,1138.235579,1377.125,1450.015842,1305.250421,1314.550632,1521.087316,10361.49311,100.439
남가좌2동,1,949034.7826,1953031.609,996.7058545,1008.309435,1252.439696,1617.133522,1614.035261,1783.967522,1694.078261,1710.441,1981.482652,12661.88735,100.439
남영동,1,953398.6842,1949656.237,234.0628787,750.8654474,1236.490921,3131.485158,3257.013,2808.242987,2326.777039,1952.403645,2153.166868,17616.44507,100.351
남현동,1,953987.5,1941680.25,489.6939372,1299.081125,1212.483375,2946.92425,2596.23675,2015.466125,2232.037,2159.995625,1947.51325,16409.7375,100.277
내곡동,1,960972.8,1940056.6,1159.514174,311.462288,211.321056,531.339432,793.341128,737.643696,666.398328,494.574672,415.916336,4161.996936,100.367
노량진1동,1,951336.25,1946142.75,224.9236561,616.22975,1436.737275,6133.82975,2779.542575,1691.359175,1604.55395,1424.162825,1505.042075,17191.45738,100.392
노량진2동,0,950425.6757,1945801.703,235.2195264,926.2662432,1704.384297,4533.325865,2930.931541,2319.686622,2387.624432,2276.217081,2476.933189,19555.36927,100.379
녹번동,0,949721.1111,1956124.556,275.7169761,1072.827189,1233.643778,1385.473344,1646.521322,1724.712656,1780.885967,1711.847656,1854.265822,12410.17773,100.384
논현1동,1,958032.1429,1945860.31,195.6351902,735.573369,1221.857238,4945.425179,4741.946845,3195.691536,2378.642893,2243.292381,2076.76869,21539.19813,100.521
논현2동,1,958870,1946183.348,262.2747445,682.1455043,830.8184435,3186.6308,3575.2726,2512.290157,1845.207635,1792.876026,1661.117957,16086.35912,100.521
능동,0,962733.8235,1950037.235,328.2237186,844.7180294,1151.298882,2393.951882,1537.378824,1169.497559,1090.972176,979.545,975.4563235,10142.81868,100.21
다산동,1,956669.2308,1950729.769,166.7356951,1235.967654,1481.864115,2353.524115,2598.702269,2412.663731,2267.507346,2267.480769,2749.879154,17367.58915,100.463
답십리1동,1,960332.5581,1952406.558,295.0540188,931.2299535,966.512407,1602.343535,1728.67714,1663.411,1691.544849,1600.291442,1668.199651,11852.20998,100.681
답십리2동,0,960994.7368,1952093.737,594.4969186,732.2102632,882.6313158,1324.300947,1471.590632,1564.319211,1616.587737,1520.909263,1516.309316,10628.85868,100.681
당산1동,0,946609.8485,1947242.182,227.5301074,1268.497667,1097.547379,2278.30247,2722.055818,2514.703561,2421.586439,2163.970348,2126.102288,16592.76597,100.413
당산2동,1,947028.5714,1948107.333,225.3069588,2054.11175,2052.933702,4944.94994,4749.310036,3797.129226,3599.783762,3348.544167,3546.530583,28093.29317,100.281
대림1동,0,947600,1943891.857,531.3298249,1110.511071,1324.385214,2152.752786,2076.212071,2110.998571,2243.965714,2204.871857,2026.047929,15249.74521,100.507
대림2동,0,947090,1943499,139.5324292,852.4215,1118.9641,3076.0102,3082.6774,2540.3731,2544.4504,2425.7789,2182.4344,17823.11,100.507
대림3동,0,946753.5088,1944610.404,533.673884,1241.184737,1263.069526,1873.909456,2066.328491,2064.774982,2085.701965,1950.841719,1803.164982,14348.97586,100.507
대방동,0,949279.4643,1945565.964,292.9881797,1068.705411,1697.169804,2667.228018,2455.144089,2442.728911,2189.657714,2011.200589,2163.385804,16695.22034,100.403
대조동,1,948986.9565,1956996.826,197.013995,1494.377326,1927.269109,2776.063065,2806.33013,2738.924652,2839.259413,2691.848913,3120.237717,20394.31033,100.375
대치1동,1,960963.0952,1943925.19,152.0459022,1418.9405,4055.252952,2321.72231,2502.588976,4030.946262,2988.122333,2524.247143,2444.136786,22285.95726,100.425
대치2동,1,961550.9852,1944615.749,337.7272603,844.9802512,2477.59101,2860.247571,3374.000389,3378.392837,2571.771754,2226.073034,1839.052335,19572.10918,100.425
대치4동,1,960563.2353,1944663.706,279.8238343,1379.127235,3765.127059,3770.320794,4534.056059,4943.933118,3369.330324,2785.377206,2538.931176,27086.20297,100.425
대학동,0,951100,1940756.143,1823.580631,239.2534571,507.2986286,1777.623371,843.9610571,547.2621429,558.8183429,477.8852,417.1708,5369.273,100.428
대흥동,1,950636.8421,1950385.842,198.3792124,1162.150825,2332.683474,4999.663404,2747.009263,2493.294053,2319.82707,2072.551544,2447.632579,20574.81221,100.2766667
도곡1동,1,959262.2807,1943284.965,356.1615429,985.6760351,1467.165386,2952.704895,3556.675667,3099.257772,2577.808263,2465.667702,2332.992895,19437.94861,100.334
도곡2동,1,960172.8916,1943257.434,344.2978488,1456.074241,2409.11147,2819.155277,3554.659277,3973.913313,3311.113843,3241.018386,3217.257386,23982.30319,100.334
도림동,0,947118.1818,1945755.818,591.0470457,1444.617,1319.457273,1944.799773,2141.665318,1999.059,2065.0835,2057.425864,2042.840455,15014.94818,100.319
도봉1동,0,959708.3333,1964649,309.205119,707.076125,768.11125,1093.6555,1150.974583,1207.245583,1465.116708,1569.409667,1633.133375,9594.722792,100.311
도봉2동,0,959892.5926,1964458.259,229.0957203,991.0158519,1065.462185,1529.961111,1619.81163,1663.575296,1887.108815,1997.05837,2024.895111,12778.88837,100.311
도화동,1,951290,1949152.333,102.2976151,1432.825867,1474.241533,3152.532933,4071.508667,3589.7782,3082.353333,2659.6022,2862.038867,22324.8816,100.28
독산1동,1,946085.2941,1940340.176,604.3313155,1070.943706,842.3855294,1112.269647,1294.550412,1378.555588,1360.329941,1233.402971,1179.752147,9472.189941,100.346
독산2동,0,946800,1940629,745.6831812,710.0772667,778.1014667,1202.361133,1397.387933,1390.796467,1507.422033,1394.078367,1138.518333,9518.743,100.346
독산3동,1,946971.875,1941961.5,940.4256302,724.759625,760.3094062,1452.506063,1668.888969,1542.636281,1700.002312,1557.448688,1218.602906,10625.15425,100.346
독산4동,0,946865,1941257.333,918.5013727,766.1839667,776.4507333,1488.747767,1693.2357,1701.963433,1773.1219,1486.1764,1144.198567,10830.07847,100.346
돈암1동,1,957966.6667,1955932.333,122.1794196,2127.126167,2767.007,2940.339833,3260.757667,3567.514333,3502.879667,3528.723333,3599.863333,25294.21133,100.404
돈암2동,0,957075,1955724,314.3332698,1576.56775,1912.672,1949.94725,2272.31325,2479.9425,2380.30525,2248.97975,2435.03975,17255.7675,100.404
동선동,1,957273.0769,1954918.231,162.5008681,1489.012538,2863.136846,4316.261154,2652.502077,2629.042923,2403.887769,2093.788308,2280.253462,20727.88508,100.373625
동화동,0,957163.6364,1951512.636,149.6288295,913.4363636,1130.236636,1926.825455,1937.667818,2040.765636,2067.171273,1835.184636,2079.771364,13931.05918,100.463
둔촌1동,0,968008.6957,1946982.696,261.1108149,331.0846739,680.3270435,556.0177391,534.4623696,648.4729783,719.955913,657.0395,569.4191304,4696.779348,100.432
둔촌2동,0,968491.25,1948236.5,541.4222653,1326.72545,1607.260175,2008.350575,2250.136825,2146.717275,2408.65685,2288.543725,2037.436825,16073.8277,100.432
등촌1동,0,943087.037,1950936.037,433.3222836,1114.195,1212.925444,2223.86763,2457.48963,2040.000741,2001.717074,1811.525037,2093.419333,14955.13989,100.345
등촌2동,0,943730,1949319,905.5866044,1180.1236,1879.6104,1885.2192,2200.3336,2132.941,2213.1206,2076.5968,1868.9386,15436.8838,100.345
등촌3동,1,942061.8421,1951447.684,406.1475145,1101.937553,1721.494632,2697.944263,2879.365632,2587.008447,2623.237763,2134.660974,2365.356895,18111.00616,100.345
마장동,0,959314.3939,1952085.364,335.3546446,1064.779106,1427.489439,2656.433,2204.226955,2135.632106,2175.541515,1965.999864,2142.755682,15772.85767,100.265
마천1동,0,969652.5,1944019,414.5600695,641.9659,787.7584,785.8615,872.88675,959.128,1055.26235,1092.78955,991.30165,7186.9541,100.672
마천2동,0,969119.5122,1944658.756,691.0565087,599.4345366,770.4732195,837.2374878,905.7126341,1035.706439,1149.265902,1112.299488,1102.383732,7512.513439,100.672
망우3동,0,964367.7419,1954855.452,727.3162079,1030.585935,1545.988903,1720.449129,1651.639161,1707.962452,2007.887097,1797.846419,1832.726032,13295.08513,100.38
망우본동,0,964829.6512,1955627.488,546.8966145,946.9254302,1173.425919,1460.406977,1562.201791,1543.291395,1887.736093,1708.284442,1731.015337,12013.28738,100.38
망원1동,0,947412.5,1950761.5,551.368435,1400.60825,1422.3,2097.14675,2444.6875,2065.024,1884.28425,1874.79075,1857.259,15046.1005,100.281
망원2동,0,947194.7368,1951006.895,641.3725324,1258.984053,1438.297895,1995.338,2424.009474,2159.198579,1945.036632,1845.655263,1921.002368,14987.52226,100.281
면목2동,0,962975.9259,1954465.667,569.6440459,914.092037,1007.603333,1318.183074,1453.565259,1469.206519,1619.674741,1508.618926,1641.200333,10932.14422,100.294
면목3.8동,0,963967.1053,1953999,453.905234,1330.897237,1758.720553,2077.517105,1931.330395,1972.144553,2150.257053,1964.670211,2034.664605,15220.20171,100.294
면목4동,0,963179.4118,1952799,402.344314,1232.350471,1263.495471,1485.252529,1771.368882,1713.340706,1851.247647,1843.480294,1619.275471,12779.81147,100.294
면목5동,0,962950,1953692.333,698.004523,526.0337333,582.8028667,744.3871,888.1457667,910.9278,976.7541333,921.3905333,881.7517,6432.193633,100.294
면목7동,1,963443.3333,1953329,363.7099148,1142.578067,1285.111933,1763.392933,1890.344933,1888.628067,2091.862733,2005.783,1873.5334,13941.23507,100.294
면목본동,0,963671.1538,1954506.692,220.5791259,1271.896538,1640.104346,2377.481923,2482.228385,2404.920962,2670.672231,2409.726462,2470.581885,17727.61273,100.294
명동,1,954408.7121,1951742.182,183.8308772,1010.103098,1232.59722,6706.390992,8009.827583,6134.531439,4205.227576,3080.802008,3298.133008,33677.61292,100.4252609
명일1동,1,968633.3333,1950029,179.1693034,1670.373667,2649.067467,2707.0586,2892.089533,3204.295267,3527.537,3366.7058,2941.726333,22958.85367,100.371
명일2동,1,969279.5918,1950168.388,452.2307427,1207.294327,2729.086204,2112.204224,2115.271939,2577.254327,2615.751796,2547.995286,2319.73102,18224.58912,100.371
목1동,1,944769.2,1947779.8,333.7564403,1498.726768,2925.143792,3391.13004,3526.474872,4163.413104,3344.64288,2530.570368,2350.437488,23730.53931,100.336
목2동,0,945133.3333,1949645.667,257.2178197,671.8467333,975.3849333,1277.196267,1423.594267,1470.2506,1378.118933,1238.618867,1080.3506,9515.3612,100.336
목3동,1,943742.8571,1949627.571,682.5454948,1470.788571,1765.083571,2022.711286,2349.000857,2269.193929,2384.714429,2250.138714,2014.782857,16526.41421,100.336
목4동,0,943980.5556,1948429.556,801.649462,909.7973333,1559.2525,1452.345889,1612.788389,1887.702167,1707.648667,1536.972889,1407.377778,12073.88561,100.336
목5동,1,945150.4425,1948683.956,746.145762,887.7199027,1862.572168,1403.660858,1535.741743,2174.825735,1748.660867,1464.935982,1492.181239,12570.2985,100.336
무악동,0,952018.75,1953070.875,192.819953,885.9935,1147.516938,1010.339813,1152.796438,1411.189688,1369.078688,1417.061563,1790.734312,10184.71094,100.45
묵1동,1,962929.1667,1957252.125,187.3943646,1170.1215,1313.337958,1810.906833,2020.437875,1945.075375,2049.770083,1954.183,1984.055708,14247.88833,100.37
묵2동,0,962627.7778,1956815.667,230.6914817,1302.342111,1386.300444,1901.593778,2179.962667,2065.871333,2241.045778,2186.625111,2127.586444,15391.32767,100.37
문래동,1,946507.2626,1946431.402,347.8613695,1152.868436,1160.163151,2408.179196,2719.67705,2354.222765,2126.066525,1989.30452,2082.30267,15992.78431,100.3273333
문정1동,1,966917.5,1943254.833,418.1836221,1201.437883,1474.988983,1838.918333,2115.888783,1965.610867,2106.720617,1913.970383,1578.0273,14195.56315,100.443
문정2동,1,966299.7382,1942608.162,449.6143932,508.8702356,619.0256702,1431.712194,1979.013801,1828.687733,1508.488126,1084.611921,943.8066911,9904.216372,100.394
미성동,0,948333.3333,1942654.556,686.5573443,776.6302222,984.5451111,1676.175778,1571.429556,1435.403333,1582.502556,1521.374,1296.765667,10844.82622,100.428
