,dong,starbucks,X,Y,subway,pop0,pop10,pop20,pop30,pop40,pop50,pop60,pop70,poptotal,landprice,0,1,INTO,miss
217,시흥1동,1.0,946900.7813,1939316.188,0.982258126,-0.6288190539999999,-0.774746168,-0.780773677,-0.808548893,-0.85895839,-0.773362078,-0.803607053,-0.9078207490000001,10256.54653,-0.429743055,0.706713287,0.293286714,0.0,1
75,도곡2동,1.0,960172.8916,1943257.4340000001,-0.317196145,0.696233387,1.399602026,0.289606855,0.955011556,1.789164525,1.4591825280000001,1.7586234040000002,1.578626165,23982.303190000002,-0.512974107,0.5287127389999999,0.47128726200000004,0.0,1
266,양평1동,0.0,946005.7692,1947385.5380000002,-0.21874804899999997,0.5241082979999999,-0.620155859,-0.224252361,0.306096565,0.10639750099999999,-0.115497587,-0.130401211,-0.110304598,15555.004019999998,-0.41933917299999995,0.49001437,0.50998563,1.0,1
321,자양4동,0.0,961450.0,1948845.429,-0.061685778,0.060251049,0.45265056200000003,1.569012789,1.039200955,0.738297203,0.8153526729999999,0.527401274,0.307186815,21645.60757,0.5898373339999999,0.18494448300000002,0.815055517,1.0,1
150,불광2동,1.0,949080.8824,1958366.6469999999,0.235113485,0.289704466,0.42309530700000003,-0.15047972,-0.216560015,-0.046409589,0.293545552,0.49125183,0.668378507,16834.66235,0.527414045,0.663772887,0.336227114,0.0,1
296,월계3동,1.0,961603.8462,1958256.6919999998,-0.623245415,0.9438311770000001,0.057443025999999994,-0.2649718,-0.093114491,0.10330466599999999,0.29733066399999997,0.334915287,0.207803551,16558.94477,-0.252877069,0.602939333,0.39706066700000003,0.0,1
49,남가좌2?1,949034.7826,1953031.6090000002,1.652883085,-0.284359997,-0.35386742600000004,-0.5448722810000001,-0.6674896060000001,-0.503751252,-0.5662543320000001,-0.379886092,-0.047301792,12661.88735,0.5794334520000001,0.6769954659999999,0.323004534,0.0,,1
390,행운동,0.0,952062.8571,1942480.429,-0.633240626,0.6003128010000001,0.669542802,2.196563839,1.300540576,0.6136296920000001,0.838314295,1.2994128520000001,1.239609344,24412.30897,-0.242473188,0.27755382,0.72244618,1.0,1
211,수서동,1.0,964551.2821,1943201.564,-0.48784039,0.57426758,-0.262251487,-0.332096989,0.504823599,0.270662828,0.371144318,0.874393118,0.575529635,17682.16795,-0.138434372,0.6708287589999999,0.329171241,0.0,1
146,북가좌1?0,947692.8571,1952963.2859999998,0.172444442,1.067813451,0.6884689279999999,-0.36730355200000003,-0.19991704600000001,0.170516631,0.071266598,0.354782573,0.618853969,16967.014,-0.076011083,0.675379388,0.324620612,0.0,,1
308,이촌1동,1.0,952892.5532,1946796.872,0.323945533,-0.288447162,-0.5527892879999999,-0.685838882,-0.46061490299999996,-0.238783195,-0.549639534,-0.403231733,0.385768015,13151.960659999999,-0.512974107,0.65563563,0.34436437,0.0,1
397,화곡1동,1.0,941552.0,1948901.0,0.016407608,1.835701065,0.120122417,-0.258782523,0.060289006,-0.227139235,-0.040524546,0.25730224399999996,0.020010881,16416.3234,-0.28408871399999996,0.6860762420000001,0.31392375899999997,0.0,1
221,신길3동,1.0,947590.0,1945469.0,0.765053157,0.8176546659999999,0.034276691,-0.567057099,-0.5481572020000001,-0.35247749,-0.06957711400000001,0.0017261289999999999,-0.035748563,14354.827,1.286897395,0.649242791,0.35075720899999996,0.0,1
173,상도2동,0.0,950496.4286,1945134.7140000002,-1.120396577,1.4544770219999998,0.192690298,0.677430616,0.46866073,0.30119396600000004,0.7192368140000001,1.006333023,1.340506622,20778.02421,0.600241215,0.466835874,0.533164126,1.0,1
322,잠실2동,0.0,962883.5821,1946094.896,-0.541895834,1.8511926769999998,2.054673845,0.38025290100000003,0.7233587359999999,1.332434815,0.489099916,0.7447944470000001,0.275559124,21868.59867,0.714683912,0.308620207,0.691379793,1.0,1
225,신길7동,0.0,948680.0,1945226.5,-0.39258757899999996,0.053355304000000006,-0.063622032,-0.331706376,-0.443468629,-0.331776241,-0.307316521,-0.450741648,-0.30226305,13709.0395,1.286897395,0.439246204,0.560753796,1.0,1
