dong,starbucks,X,Y,subway,pop0,pop10,pop20,pop30,pop40,pop50,pop60,pop70,poptotal,landprice,0,1,INTO,FN,FT
창신1동,0,957097.1429,1952583.286,-0.987086836,-0.672138623,-0.197388981,0.506324748,1.055742816,1.309961536,1.690733574,1.684253443,1.481459692,22336.76931,0.121662666,0.428109068,0.571890932,1,FALSE,TRUE
창신2동,0,956700,1952624,-1.104006159,-1.067123438,-0.223396528,0.75941269,1.186074418,1.955361779,3.35331657,3.024032531,2.96314517,26688.514,0.121662666,0.54649279,0.45350721,0,FALSE,FALSE
창신3동,0,957050,1953674,-0.68914132,-0.402458595,-0.218471171,-0.648281967,-0.668584242,-0.579642384,-0.678452874,-1.120023064,-0.730872763,11335.6755,0.121662666,0.473796757,0.526203243,1,FALSE,TRUE
천연동,0,952158.3333,1952749,-0.614230816,0.498515416,0.18086988,-0.498975849,-0.48717476,-0.156931675,-0.097029801,0.148146055,0.840607289,15412.51683,-0.596205159,0.711709626,0.288290374,0,FALSE,FALSE
천호1동,0,968221.4286,1949749,-0.624124649,1.745700732,1.707658259,0.36711175,0.665275273,0.941510884,1.7174155,1.865218785,1.462623346,23814.52514,2.55617094,0.511718849,0.488281151,0,FALSE,FALSE
천호2동,1,966741.9355,1949337.71,-0.333360707,1.120483002,0.654181195,0.673630506,0.76581937,0.876601894,1.573269702,1.683380775,1.308592072,22971.6014,2.55617094,0.390930013,0.609069987,1,FALSE,FALSE
천호3동,1,967289.1304,1948685.957,-0.853737722,2.869151851,1.945160067,2.380599036,2.301841072,2.145103959,3.198766248,3.51993687,2.569540931,33699.77639,2.55617094,0.236086543,0.763913457,1,FALSE,FALSE
청구동,0,956936.3636,1951053.545,-0.889324615,0.04416465,-0.112221245,-0.112072716,-0.014653741,0.03291057,0.011013686,0.074245937,0.730284247,16265.025,0.829126608,0.45564263,0.54435737,1,FALSE,TRUE
청담동,1,960053.5256,1947135.218,-0.340355098,-0.355461145,-0.510088791,0.282517216,0.619131764,0.148002234,-0.249837769,-0.113325966,-0.301029315,16130.10688,0.693876149,0.304981503,0.695018497,1,FALSE,FALSE
청량리동,0,959762.1212,1954268.697,-0.016629483,-1.009862447,-0.697770052,-0.381770857,-0.633001328,-0.659194936,-0.427469303,-0.003000836,0.719984506,13195.19158,-1.855074822,0.812467987,0.187532013,0,FALSE,FALSE
청룡동,1,951223.3333,1942412.333,-0.501619442,0.612181064,1.388587856,2.720053184,1.248615744,0.872003244,1.178163574,1.293233048,1.160747927,26037.72967,-0.242473188,0.191027018,0.808972982,1,FALSE,FALSE
청림동,0,952023.6842,1943449,0.612059349,1.110214291,0.360863469,0.011775777,0.348110401,0.513575255,0.392213147,0.950319867,1.012497381,19281.10263,-0.242473188,0.671220642,0.328779358,0,FALSE,FALSE
청운효자,0,953454.0323,1953782.065,0.713375322,-1.378345479,-1.102429647,-0.741890157,-0.829257164,-0.981644816,-1.421731764,-1.762587493,-1.579432941,7897.749742,0.188247507,0.450651788,0.549348212,1,FALSE,TRUE
청파동,1,953002,1950315,-0.160867332,-1.054607648,-0.672233417,-0.36641336,-0.395813485,-0.489024047,-0.587513738,-0.665803028,-0.609689025,12047.18432,-0.53378187,0.542971975,0.457028026,0,TRUE,FALSE
충현동,1,952732.6923,1951574,-0.933667248,0.005000007,0.723336125,1.435706619,2.632765182,3.239321334,2.337268665,1.402037974,1.588074518,28716.20562,0.023866179,0.056417859,0.943582141,1,FALSE,FALSE
평창동,1,953467.3913,1956672.913,7.118634817,-1.86639319,-1.582482476,-1.314479268,-1.509724931,-1.643829579,-1.731793994,-1.825586475,-1.641249574,4747.495565,0.215297599,0.884949086,0.115050914,0,TRUE,FALSE
풍납1동,0,966124.1379,1948581.759,0.364831504,0.283347882,-0.071908858,-0.486108186,-0.345944826,-0.324567061,-0.16524897,-0.047939201,-0.441163306,14005.86293,0.891549898,0.607507953,0.392492047,0,FALSE,FALSE
풍납2동,0,965813.3333,1947630.333,0.698447906,-0.697357648,-1.074966097,-0.603566658,-0.22374287,-0.315174485,-0.432067272,-0.532891288,-0.861075152,12003.06325,0.891549898,0.486641825,0.513358175,1,FALSE,TRUE
필동,1,955221.875,1951372.438,-0.752115751,-0.804037522,-0.572596423,0.25035609,0.401469115,0.467105043,0.125215852,-0.335666601,-0.055511687,16209.04781,0.4564783,0.222479216,0.777520784,1,FALSE,FALSE
하계1동,0,962273.6486,1959984.135,0.083901025,-0.398919419,1.506423719,0.148429361,-0.193065222,0.669844801,1.117177469,0.7173634,1.010239394,19456.80577,-0.617012922,0.631145011,0.368854989,0,FALSE,FALSE
하계2동,0,961696.1538,1959572.077,-0.756316397,0.446948768,2.000691797,0.366146229,0.28826677,1.477483107,1.844870275,1.270663994,1.546823599,23214.57869,-0.617012922,0.512773464,0.487226536,0,FALSE,FALSE
한강로동,1,952987.2549,1947953.902,-0.651834764,-0.328563347,-0.590986561,0.087687691,0.406032612,0.419223609,-0.034459849,-0.27965498,0.155057308,16212.09381,-0.019830123,0.297961037,0.702038963,1,FALSE,FALSE
한남동,1,956217.4242,1948845.591,-0.190570641,-1.408930285,-1.404454203,-0.629951323,-0.731380182,-1.115564424,-1.374182765,-1.359722017,-1.223341293,8431.903848,1.266089632,0.412063254,0.587936746,1,FALSE,FALSE
합정동,1,948080.5556,1950104.556,-0.732160611,0.601531561,-0.197939246,1.032769508,1.01762614,0.455820853,0.193790047,0.017051005,0.068000151,19352.2915,0.01762385,0.205726911,0.794273089,1,FALSE,FALSE
행당1동,0,958982.9787,1951239.426,-0.725234951,0.824765009,1.418598758,1.587033657,1.167213233,1.154287597,1.234449008,1.203888934,1.461639487,24904.47049,-0.783475026,0.323149291,0.676850709,1,FALSE,TRUE
행당2동,0,958537.5,1950967.75,-0.403029844,1.355945897,0.867022186,-0.232137982,0.290480704,0.520022746,0.380933449,0.52896261,0.758547101,18809.488,-0.783475026,0.641686052,0.358313948,0,FALSE,FALSE
행운동,0,952062.8571,1942480.429,-0.633240626,0.600312801,0.669542802,2.196563839,1.300540576,0.613629692,0.838314295,1.299412852,1.239609344,24412.30897,-0.242473188,0.27755382,0.72244618,1,FALSE,TRUE
혜화동,0,955952.5,1954239,-0.471817763,-0.102405299,1.59734768,1.591468024,0.270548333,0.240835488,-0.023577286,-0.130339402,0.022477505,19607.3711,0.211136047,0.20418952,0.79581048,1,FALSE,TRUE
