X.1,id,X,Y,구,동,예측,대여,반납
8945,139728,946050,1944099,구로구,구로4동,62.16881315,31.91268294,30.25613021
8946,140991,946150,1944249,구로구,구로4동,77.31292569,38.35872772,38.95419797
8947,141623,946200,1944299,구로구,구로4동,99.90512087,52.66973019,47.23539069
8948,145428,946500,1943949,영등포구,대림3동,94.14441456,42.91810868,51.22630588
8949,142888,946300,1944349,구로구,구로4동,101.407512,52.07536242,49.33214963
8950,145431,946500,1943799,구로구,구로4동,91.17996747,43.6738356,47.50613187
8951,139726,946050,1944199,구로구,구로4동,64.29130096,34.66168612,29.62961484
8952,141638,946200,1943549,구로구,구로4동,62.55879676,30.21012008,32.34867668
8953,142270,946250,1943599,구로구,구로4동,63.64446723,27.81255253,35.83191471
8954,142902,946300,1943649,구로구,구로4동,65.89832987,31.47407241,34.42425746
8955,141633,946200,1943799,구로구,구로4동,67.60803922,34.3567892,33.25125003
8956,138477,945950,1943349,구로구,구로4동,71.13162261,37.77139378,33.36022883
8957,140999,946150,1943849,구로구,구로4동,61.73822158,30.463236,31.27498558
8958,140373,946100,1943499,구로구,구로4동,61.87671984,30.69921963,31.17750021
8959,138439,945950,1945249,구로구,구로5동,76.00449558,39.36419268,36.6403029
8960,139704,946050,1945299,구로구,구로5동,127.9085611,60.12496877,67.78359238
8961,140337,946100,1945299,구로구,구로5동,120.0326189,59.8768332,60.15578572
8962,140970,946150,1945299,구로구,구로5동,109.9599381,53.34397644,56.61596168
8963,140971,946150,1945249,구로구,구로5동,112.7984326,52.48564662,60.31278598
8964,141602,946200,1945349,구로구,구로5동,112.7850081,57.9159928,54.86901531
8965,141604,946200,1945249,구로구,구로5동,103.1236653,52.40789882,50.71576647
8966,142234,946250,1945399,구로구,구로5동,119.8148167,62.75929585,57.05552086
8967,142236,946250,1945299,구로구,구로5동,102.1069887,51.98752594,50.11946278
8968,142867,946300,1945399,구로구,구로5동,127.2614854,63.15872369,64.10276166
8969,142868,946300,1945349,구로구,구로5동,108.2260338,53.51949675,54.70653704
8970,139711,946050,1944949,구로구,구로5동,85.94846451,46.21589945,39.73256506
8971,140342,946100,1945049,구로구,구로5동,95.8142569,51.21589197,44.59836493
8972,140344,946100,1944949,구로구,구로5동,99.89910788,54.83138136,45.06772653
8973,140345,946100,1944899,구로구,구로5동,99.53609486,52.58684055,46.94925431
8974,140976,946150,1944999,구로구,구로5동,88.21277915,43.03532219,45.17745696
8975,140977,946150,1944949,구로구,구로5동,100.7334854,54.17032487,46.56316053
8976,140979,946150,1944849,구로구,구로5동,103.0176224,53.62390027,49.39372209
8977,141611,946200,1944899,구로구,구로5동,96.64253969,50.07561614,46.56692355
8978,140965,946150,1945549,구로구,구로5동,153.3172666,70.52404861,82.79321802
8979,140966,946150,1945499,구로구,구로5동,150.344809,66.95262829,83.39218066
8980,140968,946150,1945399,구로구,구로5동,122.0227257,60.16104003,61.86168563
8981,140969,946150,1945349,구로구,구로5동,108.5799652,55.57939924,53.00056598
8982,141599,946200,1945499,구로구,구로5동,131.539147,67.57519538,63.96395162
8983,141600,946200,1945449,구로구,구로5동,115.3142848,59.6371805,55.67710428
8984,141601,946200,1945399,구로구,구로5동,124.0190394,65.52768859,58.49135083
